Pokemon,Trainer,Level,Move 1,Move 2,Move 3,Move 4
Abomasnow,Winstrate Victoria,43,Wood Hammer,Ice Beam,Ice Shard,Earthquake
Abomasnow,Bug Catcher Davis,95,Wood Hammer,Ice Shard,Earthquake,Swords Dance
Abomasnow,Elite Four Glacia,100,Blizzard,Giga Drain,Focus Blast,Aurora Veil
Abomasnow,Elite Four Glacia [Double],100,Blizzard,Giga Drain,Earth Power,Aurora Veil
Abra,Twins Gina & Mia [Double],20,Psybeam,Dazzling Gleam,,
Absol,Triathlete Alyssa,36,Knock Off,Close Combat,Play Rough,Counter
Absol,Magma Admin Tabitha,54,Knock Off,Psycho Cut,Fire Blast,Ice Beam
Absol,Team Magma Grunt,76,Night Slash,Stone Edge,Psycho Cut,Fire Blast
Absol,Magma Admin Tabitha,79,Night Slash,Sucker Punch,Close Combat,Swords Dance
Accelgor,Triathlete Dylan,29,Bug Buzz,Sludge Bomb,Giga Drain,Water Shuriken
Accelgor,Ninja Boy Lung,45,Bug Buzz,Focus Blast,Water Shuriken,Final Gambit
Accelgor,Team Magma Grunt [Double Battle With Team Magma Grunt],53,Bug Buzz,Struggle Bug,Acid Spray,Encore
Accelgor,Lady Brianna,88,Bug Buzz,Focus Blast,Energy Ball,Spikes
Aegislash,Aqua Leader Archie [Boss],89,Flash Cannon,Shadow Ball,Autotomize,Kings Shield
Aerodactyl,Magma Leader Maxie [Boss],53,Stone Edge,Dual Wingbeat,Aqua Tail,Pursuit
Aerodactyl,Bird Keeper Colin,68,Stone Edge,Aqua Tail,Substitute,Swagger
Aerodactyl,Team Magma Grunt,75,Dual Wingbeat,Rock Blast,Earthquake,Fire Fang
Aerodactyl,Team Magma Grunt Zerk,84,Stone Edge,Dual Wingbeat,Earthquake,Dragon Dance
Aerodactyl,Team Aqua Grunt,86,Stone Edge,Dual Wingbeat,Aqua Tail,Pursuit
Aerodactyl,Sis And Bro Reli & Ian [Double],90,Stone Edge,Dual Wingbeat,Protect,Stealth Rock
Aerodactyl,Triathlete Pablo,90,Stone Edge,Dual Wingbeat,Earthquake,Hone Claws
Aerodactyl,Cool Trainer Hope [Double Battle With Cool Trainer Albert],95,Rock Slide,Dual Wingbeat,Fire Fang,Tailwind
Aggron,Winstrate Vito [Boss],48,Iron Head,Earthquake,Body Press,Autotomize
Aggron,Team Magma Grunt,73,Stone Edge,Heavy Slam,Counter,Stealth Rock
Aggron,Winstrate Vito [Boss],95,Stone Edge,Heavy Slam,Metal Burst,Stealth Rock
Aipom,Tuber Ricky,14,Double Hit,Fake Out,Aerial Ace,Sand Attack
Alakazam,Winstrate Vito [Boss],48,Psychic,Aura Sphere,Shadow Ball,Charge Beam
Alakazam,Cool Trainer Gian,68,Psychic,Dazzling Gleam,Signal Beam,Counter
Alakazam,Pokemon Trainer May [Boss],72,Psychic,Dazzling Gleam,Shadow Ball,Nasty Plot
Alakazam,Pokemon Trainer May [Boss],72,Psychic,Dazzling Gleam,Shadow Ball,Nasty Plot
Alakazam,Triathlete Aubrey,82,Expanding Force,Dazzling Gleam,Recover,Substitute
Alakazam,Swimmer♀ Carlee [Double Battle With Swimmer♂ Harrison],90,Psychic,Focus Blast,Light Screen,Reflect
Alakazam,Psychic Cameron [Double Battle With Hex Maniac Kindra],96,Expanding Force,Aura Sphere,Dazzling Gleam,Protect
Alakazam,Winstrate Vito [Boss],97,Expanding Force,Dazzling Gleam,Shadow Ball,Substitute
Alcremie,Pokemon Trainer May [Boss],36,Dazzling Gleam,Stored Power,Acid Armor,Recover
Alcremie,Cool Trainer Gian,70,Draining Kiss,Stored Power,Acid Armor,Calm Mind
Alcremie_Caramel_Swirl,Picnicker Sophie,45,Draining Kiss,Mystical Fire,Acid Armor,Calm Mind
Alomomola,Team Aqua Grunt,79,Scald,Whirlpool,Toxic,Wish
Altaria,Leader Winona [Boss],70,Earthquake,Hyper Voice,Flamethrower,Roost
Ambipom,Pokemon Ranger Jackson,61,Tail Slap,Low Kick,Covet,Fake Out
Amoonguss,Parasol Lady Clarissa,67,Energy Ball,Sludge Bomb,Foul Play,Spore
Ampharos,Leader Wattson [Boss],35,Discharge,Dragon Breath,Rest,Sleep Talk
Ampharos,Picnicker Carol,52,Thunderbolt,Focus Blast,Hidden Power Ice,Agility
Ampharos,Team Aqua Grunt,78,Thunderbolt,Focus Blast,Hidden Power Ice,Counter
Ampharos,Cool Trainer Felix,95,Thunderbolt,Dragon Pulse,Focus Blast,Agility
Appletun,Picnicker Sophie,45,Dragon Pulse,Apple Acid,Leech Seed,Recover
Appletun,Pokemon Ranger Lorenzo,70,Apple Acid,Body Press,Iron Defense,Recover
Appletun,Team Magma Grunt,83,Dragon Pulse,Apple Acid,Leech Seed,Recover
Araquanid,Bug Catcher Kent,62,Scald,Iron Defense,Protect,Mirror Coat
Araquanid,Swimmer♂ Herman,91,Liquidation,Leech Life,Infestation,Sticky Web
Arbok,Camper Tyron [Double Battle With Aroma Lady Celina],33,Gunk Shot,Stomping Tantrum,Sucker Punch,Coil
Arbok,Team Magma Grunt,74,Gunk Shot,Aqua Tail,Coil,Glare
Arcanine,Pokemon Breeder Corgi,27,Flare Blitz,Wild Charge,Extreme Speed,Will O Wisp
Arcanine,Cool Trainer George,39,Flare Blitz,Play Rough,Wild Charge,Morning Sun
Arcanine,Picnicker Diana,53,Flare Blitz,Wild Charge,Close Combat,Howl
Arcanine,Hiker Eli,56,Burn Up,Close Combat,Psychic Fangs,Will O Wisp
Arcanine,Young Couple Dez & Luke [Double],73,Burn Up,Flare Blitz,Close Combat,Extreme Speed
Arcanine,Team Magma Grunt [Double Battle With Team Magma Grunt],76,Flare Blitz,Close Combat,Wild Charge,Scary Face
Arcanine,Team Magma Grunt,86,Flare Blitz,Close Combat,Wild Charge,Extreme Speed
Arcanine,Swimmer♂ Reed,87,Flamethrower,Solar Beam,Scorching Sands,Roar
Arcanine_Hisuian,Team Magma Grunt,73,Head Smash,Flare Blitz,Reversal,Howl
Arcanine_Hisuian,Cool Trainer Felix,94,Head Smash,Flare Blitz,Close Combat,Extreme Speed
Arcanine_Hisuian,Twins Miu & Yuki [Double],96,Flare Blitz,Rock Slide,Extreme Speed,Howl
Archen,Youngster Josh,23,Rock Slide,,,
Archeops,Bird Keeper Jared,68,Stone Edge,Dual Wingbeat,Endeavor,Stealth Rock
Archeops,Cool Trainer Tammy [Double Battle With Bug Maniac Cale],70,Head Smash,Rock Slide,Dual Wingbeat,Earthquake
Archeops,Swimmer♂ Reed,87,Meteor Beam,Air Slash,Heat Wave,Endeavor
Archeops,Triathlete Darren,94,Power Gem,Acrobatics,Heat Wave,Stealth Rock
Arctovish,Team Aqua Grunt [Double Battle With Team Aqua Grunt],61,Blizzard,Hydro Pump,Freeze Dry,Ancient Power
Arctovish,Beauty Tiffany [Double Battle With Beauty Olivia],90,Blizzard,Fishious Rend,Freeze Dry,Stone Edge
Arctovish,Elite Four Glacia,100,Fishious Rend,Blizzard,Icicle Crash,Whirlpool
Arctozolt,Team Aqua Grunt [Double Battle With Team Aqua Grunt],61,Blizzard,Bolt Beak,Icicle Crash,Low Kick
Ariados,Bug Catcher Lyle,21,Cross Poison,Pin Missile,Night Slash,Shadow Sneak
Armaldo,Fisherman Kai,47,Stone Edge,X Scissor,Liquidation,Swords Dance
Armaldo,Magma Admin Tabitha,53,Stone Edge,Leech Life,Earthquake,Stealth Rock
Armaldo,Ruin Maniac Chip,70,Leech Life,Rock Tomb,Knock Off,Stealth Rock
Armaldo,Team Magma Grunt,84,Leech Life,Rock Blast,Earthquake,Swords Dance
Armaldo,Swimmer♂ Clarence,87,Stone Edge,Leech Life,Earthquake,Swords Dance
